#include -> INCLUDE
<stdio.h> -> HEADER
int -> INT
main -> MAIN
( -> LP
) -> RP
{ -> LB
int -> INT
num -> ID
; -> SEMI
printf -> PRINTF
( -> LP
" -> DOUBLE_QUOTE
Enter -> ID
a -> ID
number -> ID
: -> UNKNOWN
" -> DOUBLE_QUOTE
) -> RP
; -> SEMI
scanf -> SCANF
( -> LP
" -> DOUBLE_QUOTE
%d -> FORMAT_SPECIFIER
" -> DOUBLE_QUOTE
, -> COMMA
& -> ADDRESS
num -> ID
) -> RP
; -> SEMI
for -> FOR
( -> LP
int -> INT
i -> ID
= -> ASSIGN
1 -> NUMBER
; -> SEMI
i -> ID
<= -> LE
10 -> NUMBER
; -> SEMI
i -> ID
++ -> INCREMENT
) -> RP
{ -> LB
printf -> PRINTF
( -> LP
" -> DOUBLE_QUOTE
%d -> FORMAT_SPECIFIER
x -> ID
%d -> FORMAT_SPECIFIER
= -> ASSIGN
%d -> FORMAT_SPECIFIER
\n -> ESCAPED_NEWLINE
" -> DOUBLE_QUOTE
, -> COMMA
num -> ID
, -> COMMA
i -> ID
, -> COMMA
num -> ID
* -> MUL
i -> ID
) -> RP
; -> SEMI
} -> RB
return -> RETURN
0 -> NUMBER
; -> SEMI
} -> RB
