#include -> INCLUDE
<stdio.h> -> HEADER
int -> INT
main -> MAIN
( -> LP
) -> RP
{ -> LB
int -> INT
num -> ID
, -> COMMA
reversed -> ID
= -> ASSIGN
0 -> NUMBER
; -> SEMI
printf -> PRINTF
( -> LP
" -> DOUBLE_QUOTE
Enter -> ID
a -> ID
number -> ID
: -> UNKNOWN
" -> DOUBLE_QUOTE
) -> RP
; -> SEMI
scanf -> SCANF
( -> LP
" -> DOUBLE_QUOTE
%d -> FORMAT_SPECIFIER
" -> DOUBLE_QUOTE
, -> COMMA
& -> ADDRESS
num -> ID
) -> RP
; -> SEMI
while -> WHILE
( -> LP
num -> ID
!= -> NE
0 -> NUMBER
) -> RP
{ -> LB
int -> INT
digit -> ID
= -> ASSIGN
num -> ID
% -> MOD
10 -> NUMBER
; -> SEMI
reversed -> ID
= -> ASSIGN
reversed -> ID
* -> MUL
10 -> NUMBER
+ -> ADD
digit -> ID
; -> SEMI
num -> ID
/= -> DIV_ASSIGN
10 -> NUMBER
; -> SEMI
} -> RB
printf -> PRINTF
( -> LP
" -> DOUBLE_QUOTE
Reversed -> ID
number -> ID
= -> ASSIGN
%d -> FORMAT_SPECIFIER
\n -> ESCAPED_NEWLINE
" -> DOUBLE_QUOTE
, -> COMMA
reversed -> ID
) -> RP
; -> SEMI
return -> RETURN
0 -> NUMBER
; -> SEMI
} -> RB
